Problem,Alpha,Beta,DepthCut,NodesProcessed,NumSols,NumberofGeneratedSolutions,PercentNearOptimal,SolCut,Time(ms),diversity,nodeType,,,,,,,,,,,,
gen(100),0.01,0.06,0,0,100,101,0.01,0.03,1259.198975,0.141626,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.06,0,0,100,101,0.01,0.04,1853.508057,0.151131,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.06,0,0,100,101,0.01,0.05,1914.392822,0.151131,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.06,0,0,100,101,0.01,0.06,1834.578613,0.151131,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.06,0,0,100,101,0.01,0.07,1912.108154,0.151131,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.06,0,0,100,101,0.01,0.08,1900.306641,0.151131,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.06,0,0,100,101,0.01,0.09,1871.470703,0.151131,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.06,0,0,100,101,0.01,0.1,1840.778931,0.151131,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.06,0,0,100,101,0.01,0.2,1955.351196,0.17577,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.06,0,0,100,101,0.01,0.3,1573.333496,0.185339,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.06,0,0,100,101,0.01,0.4,1708.395386,0.176474,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.06,0,0,100,101,0.01,0.5,1442.828491,0.169181,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.06,0,0,100,101,0.01,0.6,1339.095703,0.169678,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.06,0,0,100,101,0.01,0.7,1146.791992,0.167717,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.06,0,0,100,101,0.01,0.8,858.672546,0.168,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.06,0,0,100,101,0.01,0.9,618.753906,0.161944,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.07,0,0,100,101,0.01,0,1636.862183,0.175369,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.07,0,0,100,101,0.01,0.01,1625.487671,0.175369,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.07,0,0,100,101,0.01,0.02,1660.535156,0.175369,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.07,0,0,100,101,0.01,0.03,1629.29248,0.175044,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.07,0,0,100,101,0.01,0.04,1646.859253,0.175369,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.07,0,0,100,101,0.01,0.05,1643.588745,0.175369,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.07,0,0,100,101,0.01,0.06,1628.380005,0.175369,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.07,0,0,100,101,0.01,0.07,1607.103882,0.175369,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.07,0,0,100,101,0.01,0.08,1694.829468,0.175369,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.07,0,0,100,101,0.01,0.09,1651.190308,0.175369,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.07,0,0,100,101,0.01,0.1,1671.612793,0.175369,DiversiTree,,,,,,,,,,,,
